Per	rmag
12.22282908	19.857
2.22583092	19.864
15.91156010	19.866
14.88196172	19.871
4.19181941	19.881
14.84825823	19.943
15.28417690	19.954
14.10433008	19.962
14.91442686	19.965
1.17604960	19.971
1.57040905	19.981
1.38824018	20.017
1.25855603	20.017
12.38833134	20.029
14.95533654	20.081
1.64357383	20.087
18.03310145	20.116
1.18548399	20.124
16.28368586	20.140
14.77647506	20.157
15.78680231	20.183
6.52140482	20.213
4.14434377	20.234
1.95950236	20.235
14.68868949	20.235
16.67737265	20.240
0.65662980	20.242
17.67448920	20.245
14.23665904	20.249
6.38932562	20.266
0.90568471	20.272
0.76646793	20.276
0.73048436	20.307
17.65933829	20.308
1.78754603	20.312
6.28539962	20.332
15.65530951	20.344
13.61361050	20.354
9.00761656	20.373
0.70944648	20.379
16.03863914	20.390
17.91367694	20.399
17.13889807	20.405
1.20040842	20.410
1.40090462	20.415
1.07922623	20.425
6.43238972	20.434
1.39275129	20.454
0.54761201	20.470
16.50244032	20.490
1.95151192	20.490
3.51719544	20.508
3.25558346	20.550
0.71158870	20.553
1.19146907	20.556
10.12846865	20.558
14.74270142	20.562
0.44587431	20.581
2.24396899	20.632
0.76130003	20.641
1.24662525	20.663
0.77933603	20.676
1.77653341	20.680
8.32965591	20.692
0.67514055	20.693
9.25806548	20.699
1.43173671	20.710
0.77035909	20.715
0.78918741	20.788
1.23333571	20.805
9.05481805	20.823
1.43977691	20.828
2.11901226	20.830
13.55429194	20.833
12.95388042	20.835
6.78379675	20.853
1.56948032	20.856
1.62045753	20.857
14.46841907	20.858
0.68071806	20.877
0.49118800	20.880
17.36371755	20.889
16.80556456	20.891
2.26233455	20.899
0.62164468	20.900
0.62898272	20.901
6.69633584	20.912
2.07311563	20.913
0.82867572	20.929
4.46941092	20.945
0.76779218	20.950
0.70925733	20.975
17.61457850	20.985
0.78207668	20.987
15.20750375	20.995
12.96129167	21.012
0.63543630	21.067
10.83871080	21.117
12.59396802	21.141
1.33736457	21.172
15.36524937	21.187
1.46248707	21.223
0.57627568	21.232
15.67108312	21.234
0.51694990	21.253
0.58008578	21.335
0.77690271	21.351
1.68191944	21.356
17.07796136	21.360
5.43051012	21.364
2.46685964	21.366
9.35473083	21.426
2.26205818	21.481
4.21184563	21.541
4.59145387	21.571
0.62071436	21.577
2.36836101	21.624
18.28753674	21.640
12.90481683	21.645
0.44851993	21.665
12.67091650	21.802
0.43234329	21.850
1.70216689	22.001
1.97945275	22.007
0.51753735	22.081
3.84251745	22.139
6.46112784	22.144
