 3.924 0.71
 3.955 0.64
 3.955 0.60
 3.955 0.62
 3.986 0.56
 3.986 0.68
 3.986 0.71
 4.187 0.76
 4.222 0.57
 4.258 0.62
 4.258 0.64
 4.258 0.77
 4.294 0.68
 4.332 0.63
 4.332 0.65
 4.369 0.87
 4.408 0.75
 4.447 0.64
 4.447 0.77
 4.487 0.76
 4.487 0.69
 4.527 1.03
 4.527 0.76
 4.569 0.96
 4.611 0.71
 4.611 1.57
 4.654 0.79
 4.654 0.76
 4.697 0.80
 4.697 0.75
 4.742 0.70
 4.742 0.67
 4.742 0.64
 4.787 0.92
 4.833 1.35
 4.833 0.70
 4.833 0.71
 4.929 0.59
 4.929 0.69
 4.978 1.31
 5.028 0.78
 5.028 0.70
 5.079 1.29
 5.079 0.73
 5.131 0.87
 5.184 1.24
 5.238 0.76
 5.248 0.72
 5.293 1.25
 5.293 0.47
 5.408 0.77
 5.467 0.70
 5.467 0.75
 5.467 0.95
 5.527 0.80
 5.527 1.17
 5.527 0.89
 5.527 0.73
 5.527 0.79
 5.589 0.73
 5.589 0.97
 5.652 0.80
 5.652 0.81
 5.652 1.12
 5.652 0.72
 5.652 0.81
 5.717 0.72
 5.717 0.89
 5.717 0.78
 5.783 1.27
 5.783 0.84
 5.783 1.10
 5.783 1.06
 5.783 1.05
 5.783 1.08
 5.783 0.74
 5.783 0.76
 5.783 0.85
 5.783 0.79
 5.850 0.96
 5.850 0.73
 5.919 0.75
 5.919 0.64
 5.919 0.58
 5.919 0.75
 5.919 1.04
 5.990 0.76
 5.990 0.98
 6.029 0.56
 6.137 0.87
 6.137 0.87
 6.137 0.24
 6.137 0.81
 6.137 0.56
 6.137 0.69
 6.213 1.11
 6.291 0.73
 6.291 0.88
 6.291 0.84
 6.372 0.85
 6.372 0.74
 6.372 1.08
 6.372 1.30
 6.454 0.83
 6.454 1.37
 6.454 0.82
 6.538 0.84
 6.538 0.88
 6.538 1.13
 6.538 1.04
 6.538 0.87
 6.538 0.80
 6.538 0.82
 6.538 1.28
 6.625 1.04
 6.625 1.27
 6.625 0.91
 6.625 0.95
 6.805 1.14
 6.805 0.82
 6.805 0.91
 6.805 0.59
 6.805 1.44
 6.805 0.87
 6.898 0.97
 6.898 0.82
 6.898 0.97
 6.995 1.05
 6.995 0.94
 6.995 1.09
 6.995 0.93
 6.995 1.19
 6.995 0.61
 7.301 1.19
 7.301 0.94
 7.301 1.12
 7.301 0.98
 7.409 1.17
 7.520 0.90
 7.520 0.51
 7.520 0.95
 7.520 0.63
 7.520 0.98
 7.520 0.88
 7.635 1.15   
 7.753 0.91
 7.753 0.64
 7.875 1.06
 7.875 1.00
 8.001 0.66
 8.001 1.11
 8.001 1.19
 8.001 0.88
 8.001 1.14
 8.131 0.98
 8.131 1.13
 8.265 0.87
 8.265 1.01
 8.404 0.65
 8.404 0.37
 8.404 0.91
 8.404 0.77
 8.404 0.91
 8.547 1.14
 8.547 0.95
 8.547 0.58
 8.547 1.16
 8.696 1.18
 8.696 1.14
 8.696 1.21
 8.696 0.85
 8.696 1.32
 8.850 1.08
 8.850 0.95
 8.850 1.18
 9.174 0.88
 9.174 1.04
 9.345 1.15
 9.345 1.13
 9.468 1.28
 9.523 1.11
 9.523 1.32
 9.708 1.04
 9.708 1.21
 9.708 1.13
 9.900 0.83
10.132 0.68
10.308 0.95
10.308 0.87
10.986 0.75
11.233 1.00
12.044 0.97
12.652 0.69
13.326 0.68
13.691 1.31
13.691 0.71
14.483 0.65
14.915 0.96
15.373 0.95
15.373 0.75
17.605 0.82
23.215 0.80
52.465 1.19
58.464 1.42
